Python Sod Shock Tube Results (t = 0.150)
x,density,velocity,pressure,energy
2.500000000000000052e-03,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
7.499999999999999722e-03,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
1.250000000000000069e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
1.749999999999999820e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
2.249999999999999917e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
2.750000000000000014e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
3.250000000000000111e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
3.750000000000000555e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
4.250000000000000305e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
4.750000000000000056e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
5.250000000000000500e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
5.750000000000000250e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
6.250000000000000000e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
6.750000000000000444e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
7.250000000000000888e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
7.749999999999999944e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
8.250000000000000389e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
8.750000000000000833e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
9.249999999999999889e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
9.750000000000000333e-02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
1.025000000000000078e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
1.074999999999999983e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
1.125000000000000028e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
1.175000000000000072e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
1.224999999999999978e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
1.275000000000000022e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
1.325000000000000067e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
1.375000000000000111e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000444e+00
