MATLAB Sod Shock Tube Results (t = 0.150)
x,density,velocity,pressure,energy
0.632500,0.389883,0.927426,0.303265,2.374647
0.637500,0.361747,0.927481,0.303262,2.525927
0.642500,0.329194,0.927504,0.303264,2.733215
0.647500,0.296865,0.927347,0.303202,2.983350
0.652500,0.271190,0.927782,0.303339,3.226758
0.657500,0.259476,0.927901,0.303372,3.353434
0.662500,0.259203,0.927594,0.303300,3.355534
0.667500,0.259502,0.927531,0.303309,3.352191
0.672500,0.260430,0.927384,0.303280,3.341362
0.677500,0.261889,0.927362,0.303254,3.324866
0.682500,0.263523,0.927276,0.303206,3.306382
0.687500,0.265034,0.927161,0.303187,3.289699
0.692500,0.266168,0.927162,0.303188,3.277527
0.697500,0.266512,0.927061,0.303146,3.273357
0.702500,0.266508,0.927032,0.303155,3.273470
0.707500,0.266441,0.927163,0.303104,3.273823
0.712500,0.266401,0.927116,0.303154,3.274678
0.717500,0.266304,0.927274,0.303148,3.275809
0.722500,0.266174,0.927239,0.303192,3.277576
0.727500,0.265923,0.927596,0.303160,3.280287
0.732500,0.265851,0.927307,0.303274,3.281868
0.737500,0.265698,0.927502,0.303190,3.282897
0.742500,0.265507,0.927758,0.303022,3.283605
0.747500,0.265575,0.925950,0.303123,3.282153
0.752500,0.264667,0.924392,0.301681,3.276882
0.757500,0.262146,0.909379,0.297513,3.250775
0.762500,0.248695,0.847382,0.276527,3.138816
0.767500,0.195844,0.556253,0.197854,2.680357
0.772500,0.131918,0.061288,0.108164,2.051724
0.777500,0.125000,0.000000,0.100000,2.000000
0.782500,0.125000,0.000000,0.100000,2.000000
0.787500,0.125000,0.000000,0.100000,2.000000
0.792500,0.125000,0.000000,0.100000,2.000000
0.797500,0.125000,0.000000,0.100000,2.000000
0.802500,0.125000,0.000000,0.100000,2.000000
0.807500,0.125000,0.000000,0.100000,2.000000
0.812500,0.125000,0.000000,0.100000,2.000000
0.817500,0.125000,0.000000,0.100000,2.000000
0.822500,0.125000,0.000000,0.100000,2.000000
0.827500,0.125000,0.000000,0.100000,2.000000
0.832500,0.125000,0.000000,0.100000,2.000000
0.837500,0.125000,0.000000,0.100000,2.000000
0.842500,0.125000,0.000000,0.100000,2.000000
0.847500,0.125000,0.000000,0.100000,2.000000
0.852500,0.125000,0.000000,0.100000,2.000000
0.857500,0.125000,0.000000,0.100000,2.000000
0.862500,0.125000,0.000000,0.100000,2.000000
0.867500,0.125000,0.000000,0.100000,2.000000
0.872500,0.125000,0.000000,0.100000,2.000000
0.877500,0.125000,0.000000,0.100000,2.000000
0.882500,0.125000,0.000000,0.100000,2.000000
0.887500,0.125000,0.000000,0.100000,2.000000
0.892500,0.125000,0.000000,0.100000,2.000000
0.897500,0.125000,0.000000,0.100000,2.000000
0.902500,0.125000,0.000000,0.100000,2.000000
0.907500,0.125000,0.000000,0.100000,2.000000
0.912500,0.125000,0.000000,0.100000,2.000000
0.917500,0.125000,0.000000,0.100000,2.000000
0.922500,0.125000,0.000000,0.100000,2.000000
0.927500,0.125000,0.000000,0.100000,2.000000
0.932500,0.125000,0.000000,0.100000,2.000000
0.937500,0.125000,0.000000,0.100000,2.000000
0.942500,0.125000,0.000000,0.100000,2.000000
0.947500,0.125000,0.000000,0.100000,2.000000
0.952500,0.125000,0.000000,0.100000,2.000000
0.957500,0.125000,0.000000,0.100000,2.000000
0.962500,0.125000,0.000000,0.100000,2.000000
0.967500,0.125000,0.000000,0.100000,2.000000
0.972500,0.125000,0.000000,0.100000,2.000000
0.977500,0.125000,0.000000,0.100000,2.000000
0.982500,0.125000,0.000000,0.100000,2.000000
0.987500,0.125000,0.000000,0.100000,2.000000
0.992500,0.125000,0.000000,0.100000,2.000000
0.997500,0.125000,0.000000,0.100000,2.000000
